No.,Item,Description,Date,"Transaction
Type",Quantity,Unit,Assigned,Assign history,Status,S/N,Remark
473,Pole Display VFD220U,Thu hồi từ VE04,2024-07-08 00:00:00,in,1.0,pcs,VE04,,,120033,
474,HP ProDesk 400 G3 DM,Thu Hồi từ CHAMPION CRESCENT MALL, ,in,1.0,pcs,VC05,,,8CG75234Q7,
475,HP ProDesk 400 G3 DM,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,VN13,,8CG8052W2J,
476,HP 190V,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,VN13,,1CR8371GSK,
477,Maken MK410,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,,,20230526081,
478,Pole Display LD220-HP,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,,,493345-002,
479,Mercusys,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,,,22253D9009871,
480,Datalogic QW2100,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,,,G21M82786,
481,Epson TM-82III,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,ZV13,,X7B9022758,
482,HP Laser NEVERSTOP 1000W,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,VC05,,CNBRP8339N,
483,HP-Display port to VGA,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,,,,
484,Mouse & keyboard,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,,màu trắng,,
485,Fortigate-40F,Cấp cho VA15,14/8/2024,out,1.0,pcs,VA15,,,FGT40FTK24012854,
486,Epson TM-82III,Nhận từ Vi04,16/08/2024,in,1.0,pcs,Vi04,,,X7BA002775,
487,Laptop Dell Latitude 3520,Event Bình Dương,21/08/2024,out,1.0,pcs,,,,6S4JGL3,
488,Epson TM-82III,Event Bình Dương,21/08/2024,out,1.0,pcs,,,,X7BA002775,
489,Datalogic QW2100,Event Bình Dương,21/08/2024,out,1.0,pcs,,,,G23C76607,
490,Samsung Tab S6,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,354348130452407,
491,Samsung Tab S6,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,354348130452662,
492,Samsung Tab S6,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,354348130452001,
493,Postek printer,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,11624C0001 ,
494,Postek printer,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,11624C0002,
495,Postek printer,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,11624C0003,
496,SIM 4G Viettel,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,8984048000934185683,
497,SIM 4G Viettel,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,8984048000934185627,
498,SIM 4G Viettel,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,8984048000934185573,
499,SIM 4G Viettel,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,8984048000916476495,
500,SIM 4G Viettel,Sóng nam giao,22/08/2024,in,1.0,pcs,,,,8984048000934185681,
501,Epson TM-82III,VA02,23/08/2024,in,1.0,pcs,,,,X7BA011302,
502,Canon LBP 2900,VA02,23/08/2024,in,1.0,pcs,,,,NMYA783802,
503,Datalogic QW2100,VA02,23/08/2024,in,1.0,pcs,,,,G22EB4602,
504,Laptop Hp ProBook 440 G9,VA02,23/08/2024,in,1.0,pcs,,,,5CD250F9ZW,
505,Laptop Dell Latitude 3520,ZV16,27/08/2024,out,1.0,pcs,DƯƠNG QUANG MINH TUẤN,,,BR9VKG3 ,
506,Samsung S6 Lite,VN14,26/08/2024,in,1.0,pcs,,,,352294624028836,
507,Postek printer,VN14,26/08/2024,in,1.0,pcs,,,,I1622F0008,
508,HP 190V,VN14,26/08/2024,in,1.0,pcs,,,,1CR82307C2,
509,HP Pavilion 550-029I,VN14,26/08/2024,in,1.0,pcs,,,,4CE61005V3,
510,Canon LBP 2900,VN14,26/08/2024,in,1.0,pcs,,,,NMYA855377,
511,Mercusys,VN14,26/08/2024,in,1.0,pcs,,,,22172W5002261,
512,Datalogic QW2100,VN14,26/08/2024,in,1.0,pcs,,,,G21M82814,
513,Epson TM-82III,VN14,26/08/2024,in,1.0,pcs,,,,X7BA002788,
514,Maken MK410,VN14,26/08/2024,in,1.0,pcs,,,,MK410211201514,
515,Pole Display LD220-HP,VN14,26/08/2024,in,1.0,pcs,,,,211130000033,
516,Mouse,VN14,26/08/2024,in,1.0,pcs,,,,,
517,Keyboard,VN14,26/08/2024,in,1.0,pcs,,,,,
518,HP 194V  ,VA13,29/08/2024,out,1.0,pcs,,,,3CQ633116Z,
519,Epson TM-82III  ,VA13,29/08/2024,out,1.0,pcs,,,,X7BA011302,
520,Canon LBP 2900  ,VA13,29/08/2024,out,1.0,pcs,,,,NMYA783802,
521,Pole Display VFD  ,VA13,29/08/2024,out,1.0,pcs,,,,211130000049,
522,HP ProDesk 400 G3 DM  ,VA13,29/08/2024,out,1.0,pcs,,,,8CG8105N1V,
523,Hub usb orico  ,VA13,29/08/2024,out,1.0,pcs,,,,,
524,Mouse& Keyboard  ,VA13,29/08/2024,out,1.0,pcs,,,,,
525,Maken MK410  ,VA13,29/08/2024,out,1.0,pcs,,,,MK410220300197,
526,Fortigate-40F  ,VA13,29/08/2024,out,1.0,pcs,,,,,
527,Mercusys  ,VA13,29/08/2024,out,1.0,pcs,,,,22172W5002275,
528,Datalogic QW2100  ,VA13,29/08/2024,out,1.0,pcs,,,,G22EB4602,
529,HP-Display port to VGA,VA13,29/08/2024,out,1.0,pcs,,,,,
530,Samsung S6 Lite,VA16,2024-06-09 00:00:00,out,1.0,pcs,,,,352294624028836,
531,Postek printer,VA16,2024-06-09 00:00:00,out,1.0,pcs,,,,I1622F0008,
532,HP Probook G9,Thu hồi từ A.Tuấn hiện tại a.huy giữ,2024-09-09 00:00:00,in,1.0,pcs,,,,5CD2409YYT ,
533,Samsung S6 Lite,VA22,10/092024,out,1.0,pcs,,,,354348130452407,
534,Postek printer,VA22,10/092024,out,1.0,pcs,,,,I1624C0001,
535,SIM 4G Viettel,VA22,10/092024,out,1.0,pcs,,,,8984048000916476495,
536,Fortigate-60F,VO02,16/09/2024,in,1.0,pcs,,,,"serial"": ""FGT60FTK23084659"", cloud_key: ""C7XWD5S5""",
537,Datalogic QW2100,zv16&zv14,16/09/2024,in,1.0,pcs,,,,G21E85804,
538,TP-Link MR6400 ,zv16&zv14,16/09/2024,in,1.0,pcs,,,,223C9L2011651,
539,Epson TM-82III,zv16&zv14,16/09/2024,in,1.0,pcs,,,,X7BA002787,
540,SIM 4G Viettel,zv16&zv14,16/09/2024,in,1.0,pcs,,,,8984048000927542644 ,
541,Laptop Dell Latitude 3520,zv16&zv14,16/09/2024,in,1.0,pcs,,,,BR9VKG3 ,
542,HP Laser NEVERSTOP 1000W,VN02,17/09/2024,in,1.0,pcs,,,,CNBRP833GH,
543,Epson TM-82III,VN02,17/09/2024,in,1.0,pcs,,,,X7BA000889,
544,Datalogic QW2100,VN02,17/09/2024,in,1.0,pcs,,,,G17NE9961,
545,Maken MK410,VN02,17/09/2024,in,1.0,pcs,,,,MK410210300453,
546,HP ProDesk 400 G7 DM,VN02,17/09/2024,in,1.0,pcs,,,,1CZ04303Y7,
547,Lenovo tab M8,VN02,17/09/2024,in,1.0,pcs,,,,HA1JXW7V,
548,Sim 4g,VN02,17/09/2024,in,1.0,pcs,,,,8401232050322104,
549,HP 185E,VN02,17/09/2024,in,1.0,pcs,,,,CNT930534Q,
550,Postek printer,VN02,17/09/2024,in,1.0,pcs,,,,I1623H0003,
551,Mercusys,VN16,17/09/2024,out,1.0,pcs,,,, 22172W5002261,
552,Pole Display VFD,VN02,17/09/2024,in,1.0,pcs,,,,2108112341009,
553,Canon LBP 2900,PO03,20/09/2024,in,1.0,pcs,,,,211130000029,
554,Datalogic QW2100,PO03,20/09/2024,in,1.0,pcs,,,,G21EB1563,
555,OptiPlex 3090 Micro,PO03,20/09/2024,in,1.0,pcs,,,,BGC4LQ3,
556,Canon LBP 2900,PO03,20/09/2024,in,1.0,pcs,,,,NMYA746459,
557,Mercusys,PO03,20/09/2024,in,1.0,pcs,,,,2201552001955,
558,Epson TM-82III,PO03,20/09/2024,in,1.0,pcs,,,,X7BA002821,
559,Dell E1916,PO03,20/09/2024,in,1.0,pcs,,,,CN0MMK39728725COG47UA00,
560,Maken MK410,PO03,20/09/2024,in,1.0,pcs,,,,,
561,HP V20,VA09&VN11,20/09/2024,in,1.0,pcs,,,,3CQ2320CR6,
562,HP V20,VA09&VN11,20/09/2024,in,1.0,pcs,,,,3CQ2320662,
563,Hp ProBook 440 G6,VN11,20/09/2024,in,1.0,pcs,,,,8CC2231D4N,
564,Pole Display VFD,VA09&VN11,20/09/2024,in,1.0,pcs,,,,221122000049,
565,Maken MK410,VA09&VN11,20/09/2024,in,1.0,pcs,,,,MK410221102041,
566,Maken MK410,VA09&VN11,20/09/2024,in,1.0,pcs,,,,MK410221102021,
567,Scanner Datalogic QW2100,VA09&VN11,20/09/2024,in,1.0,pcs,,,,G23D05705,
568,Scanner Datalogic QW2100,VA09&VN11,20/09/2024,in,1.0,pcs,,,,G23C76627,
569,Canon LBP 2900,VA09&VN11,20/09/2024,in,1.0,pcs,,,,NMYA834196,
570,Canon LBP 2900,VA09&VN11,20/09/2024,in,1.0,pcs,,,,NMYA802536,
571,Epson TM-82III,VA09&VN11,20/09/2024,in,1.0,pcs,,,,X7B9023457,
572,Epson TM-82III,VA09&VN11,20/09/2024,in,1.0,pcs,,,,X7B9028159,
573,Samsung S6 Lite,VN11,20/09/2024,in,1.0,pcs,,,,352294624027655,
574,Postek printer,VA09&VN11,20/09/2024,in,1.0,pcs,,,,I1622F0001,
575,Pole Display VFD,vn24,20/09/2024,in,1.0,pcs,,,,221122000049,
576,OptiPlex 3090 Micro,vn24,20/09/2024,in,1.0,pcs,,,,2HC4LQ3,
577,Epson TM-82III,vn24,20/09/2024,in,1.0,pcs,,,,X7BA007409,
578,Canon LBP 2900,vn24,20/09/2024,in,1.0,pcs,,,,NMYA786005,
579,Datalogic QW2100,vn24,20/09/2024,in,1.0,pcs,,,,G22EB4589,
580,Maken MK410,vn24,20/09/2024,in,1.0,pcs,,,,MK410220300534,
581,HP 190V,vn24,20/09/2024,in,1.0,pcs,,,,1CR82307CB,
582,Cisco CBS110-16T-EU,vn24,20/09/2024,in,1.0,pcs,,,,PSZ26391 WEW,
583,Epson TM-82III,Binh duong,30/09/2024,in,1.0,pcs,,,,X7BA002775,
584,Maken MK410,VN07,2024-10-03 00:00:00,out,1.0,pcs,VN11,,,MK410221102041,
585,XPrinter XP-K300L,VN07,2024-10-10 00:00:00,in,1.0,pcs,,,,XPK300L-BM2105270034,
586,Maken MK410,VN07,2024-10-10 00:00:00,in,1.0,pcs,,,,MK410211200950,
587,Maken MK410,VN07,2024-10-10 00:00:00,in,1.0,pcs,,,,MK410211201512,
588,Maken MK410,VN07,2024-10-10 00:00:00,in,1.0,pcs,,,,MK410221102021,
589,Pole Display VFD220U,VN07,2024-10-10 00:00:00,in,1.0,pcs,,,,211130000045,
590,HP Laser NEVERSTOP 1000W,VN07,2024-10-10 00:00:00,in,1.0,pcs,,,,CNBRP8434C,
591,Epson TM-82III,KN08,2024-11-10 00:00:00,out,1.0,pcs,,,,X7BA007409,
592,Laptop Dell Inspiron 3505,Vn01,14/10/2024,in,1.0,pcs,,,,GNWPK73,
593,Epson TM-82III,Vn01,14/10/2024,in,1.0,pcs,,,,X7BA000887,
594,Scanner Datalogic QW2100,Vn01,14/10/2024,in,1.0,pcs,,,,G20L70063,
595,Pole Display,Vn01,14/10/2024,in,1.0,pcs,,,,2108112341009,
596,Antech,Vn01,14/10/2024,in,1.0,pcs,,,,DGAV141220180754,
597,Canon LBP 2900,Vn01,14/10/2024,in,1.0,pcs,,,,NMYA467073,
598,Mercusys,Vn01,14/10/2024,in,1.0,pcs,,,,2201552001939,
599,Epson TM-82II,Kn08,2024-11-10 00:00:00,in,1.0,pcs,,,,TCEY007558,
600,Epson TM-82II,Vi01,18/10/2024,in,1.0,pcs,,,,TCEY004684,
601,zebex z3100,Vi01,18/10/2024,in,1.0,pcs,,,,G00LH223008,
602,Unitek - HDMI to VGA,,22/10/2024,out,1.0,pcs,Tram log,,,,
603,Samsung S19B370B,,22/10/2024,in,1.0,pcs,,,,MQDJHYCC302944V,
604,Samsung S19B370B,,22/10/2024,Out,1.0,pcs,Tram log,,,MQDJHYCC302944V,
605,Laptop Hp ProBook 440 G9,VE06,25/10/2024,in,1.0,pcs,,,,5CD250F9PD,
606,Datalogic QW2100,VE06,25/10/2024,in,1.0,pcs,VA08,,,G23C76615,
607,Epson TM-82III,VE06,25/10/2024,in,1.0,pcs,,,,X7B9022777,
608,Laptop Lenovo Lenovo 81FV,Vi01,,in,1.0,pcs,,,,PF1MDA7C,
609,Epson TM-82III,VA14,29/10/2024,out,1.0,pcs,,,,X7B90227772,
610,Canon LBP 2900,VA14,29/10/2024,out,1.0,pcs,,,,NMYA786005,
611,Maken MK410,VA14,29/10/2024,out,1.0,pcs,,,,MK410221102021,
612,Pole Display VFD,VA14,29/10/2024,out,1.0,pcs,,,,211130000045,
613,Dell E1916,VA14,29/10/2024,out,1.0,pcs,,,,CN-OMMK39-72872-5CO-G47U-A00,
614,HP ProDesk 400 G3 DM,VA14,29/10/2024,out,1.0,pcs,,,,8CG8105N35,
615,Mercusys,VA14,29/10/2024,out,1.0,pcs,,,,2201552001955,
616,Fortigate-40F,VA14,29/10/2024,out,1.0,pcs,,,,FGT40FTK2309D2CM    Key: 9LCZPTQ3,
617,mouse,VA14,29/10/2024,out,1.0,pcs,,,,,
618,keyboard,VA14,29/10/2024,out,1.0,pcs,,,,,
619,Datalogic QW2100,VA14,29/10/2024,out,1.0,pcs,,,,G23C76615,
620,Hub Usb Orico 4 Port,VR02,2024-06-10 00:00:00,out,1.0,pcs,,,,,
621,HP ProDesk 400 G6 DM,VA20-ADMIN,2024-08-11 00:00:00,out,1.0,pcs,,New,,8CC2231D5C,
622,OptiPlex 3090 Micro,VA20-POS2,2024-08-11 00:00:00,out,1.0,pcs,,VN11,,8CC2231D4N,
623,HP ProDesk 400 G3 DM,VA20-POS1,2024-08-11 00:00:00,out,1.0,pcs,,VC03,,8CG8052XG7,
624,HP 185E,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,CNT930534Q,
625,HP V20,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,3CQ2320CR6,
626,Angustos,Sóng nam giao,2024-06-11 00:00:00,in,1.0,pcs,,,,2312178BADH21L0200002,
627,Angustos,VA20,2024-08-11 00:00:00,out,1.0,pcs,,New,,2312178BADH21L0200002,
628,Maken MK410,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,MK410211200950,
629,Maken MK410,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,MK410211201512,
630,Pole Display VFD,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,211130000029,
631,Hub Usb Unitek - 4 Port,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,,
632,Datalogic QW2100,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,G22EB4589,
633,Datalogic QW2100,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,G21E85804,
634,Epson TM-82III,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,X7BA002787,
635,Epson TM-82III,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,X7BA002788,
636,Canon LBP 2900,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,NMYA746459,
637,HP-Display port to VGA,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,,
638,HP-Display port to VGA,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,,
639,Fortigate-40F,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,FGT40FTK2309D2HW,
640,Pole Display VFD,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,211130000048,
641,Mercusys,VA20,2024-08-11 00:00:00,out,1.0,pcs,,,,2201552001939,
642,Samsung Tab S6,VN27,13/11/2024,out,1.0,pcs,,,,354348130452001,
643,Laptop Thinkpad X280,ZV17,19/11/2024,out,1.0,pcs,,,,PC133K78,
644,Lenovo tab M8,VA05,19/11/2024,in,1.0,pcs,,,,HA1JZCBD,
645,Lenovo tab M8,VN27,19/11/2024,in,1.0,pcs,,,,HA1JY6ZZ,
646,Laptop HP 14s-cf2xxx,VN09 event,20/11/2024,out,1.0,pcs,,,,5CG11088PT,
647,Epson TM-82III,VN09 event,20/11/2024,out,1.0,pcs,,,,X7B9023457,
648,Datalogic QW2100,VN09 event,20/11/2024,out,1.0,pcs,,,,G2OL70063,
649,Postek printer,VN27,28/11/2024,out,1.0,pcs,,,,I1624C0002,
650,Mercusys,VN09,29/11/2024,out,1.0,pcs,,,, 22172W5002268,
651,HP Probook G9,ZV18,22/11/2024,out,1.0,pcs,,,,5CD2409YYT,
652,Laptop Dell Latitude 3520,ZV18,22/11/2024,out,1.0,pcs,,,,1P8VKG3,
653,TP-Link MR6400,ZV18,22/11/2024,out,1.0,pcs,,,,223C9L2011651,
654,Epson TM-82III,ZV18,22/11/2024,out,1.0,pcs,,,,X7B9028159,
655,Datalogic QW2100,ZV18,22/11/2024,out,1.0,pcs,,,,G23C76627,
656,Laptop Dell Latitude 3520,Event Va13,22/11/2024,out,1.0,pcs,,,,BXSSKS3,
657,Epson TM-82III,Event Va13,22/11/2024,out,1.0,pcs,,,,X7BA000889,
658,Datalogic QW2100,Event Va13,22/11/2024,out,1.0,pcs,,,,G23C76607,
659,Laptop Dell Latitude 3520,ZV18,2024-09-12 00:00:00,in,1.0,pcs,,,,1P8VKG3,
660,Laptop Thinkpad X280,ZV17,2024-09-12 00:00:00,in,1.0,pcs,,,,PC133K78,
661,Laptop Dell Latitude 3520,Event Va13,2024-09-12 00:00:00,in,1.0,pcs,,,,BXSSKS3,
662,Epson TM-82III,Event Va13,2024-09-12 00:00:00,in,1.0,pcs,,,,X7BA000889,
663,Datalogic QW2100,Event Va13,2024-09-12 00:00:00,in,1.0,pcs,,,,G23C76607,
664,Datalogic QW2100,VA22,23/12/2024,in,1.0,pcs,,,,G21M82827,
665,Epson TM-82III,VA22,23/12/2024,in,1.0,pcs,,,,X7B9023460,
666,HP V20,VA22,23/12/2024,in,1.0,pcs,,,,3CQ2320F15,
667,Canon LBP 2900,VA22,23/12/2024,in,1.0,pcs,,,,NMYA802553,
668,DSP V9FB,VA22,23/12/2024,in,1.0,pcs,,,,D190928010254,
669,Samsung S6 Lite,VA22,23/12/2024,in,1.0,pcs,,,,354348130452407,
670,Postek printer,VA22,23/12/2024,in,1.0,pcs,,,,I1624C0001,
671,SIM 4G Viettel,VA22,23/12/2024,in,1.0,pcs,,,,8984048000916476495,
672,Maken MK410,VA22,23/12/2024,in,1.0,pcs,,,,MK410221101694,
673,HP ProDesk 400 G6 DM,VA22,23/12/2024,in,1.0,pcs,,,,8CC2231D78,
674,Laptop Hp ProBook 440 G9,ZV21,23/08/2024,out,1.0,pcs,,,,5CD250F9ZW,
675,Laptop Dell Latitude 3520,ZV20,2024-09-12 00:00:00,out,1.0,pcs,,,,1P8VKG3,
676,Laptop Thinkpad X280,ZV19,2024-09-12 00:00:00,out,1.0,pcs,,,,PC133K78,
677,HP Laserjet pro M12w,KN01,24/12/2024,in,1.0,pcs,,,,VNCW514219,
678,Epson TM-82II,KN01,24/12/2024,in,1.0,pcs,,,,TCCY014795,
679,Monitor HP V190,KN01,24/12/2024,in,1.0,pcs,,,,1CR82307CK,
680,Scanner Datalogic QW2100,KN01,24/12/2024,in,1.0,pcs,,,,G17NE9935,
681,Pole Display HP ,KN01,24/12/2024,in,1.0,pcs,,,,,
682,Cash Drawer Antech ,KN01,24/12/2024,in,1.0,pcs,,,,B5AT100018,
683,Other Mitaco Finger printer,KN01,24/12/2024,in,1.0,pcs,,,,,
684,Network Switch TP-Link ,KN01,24/12/2024,in,1.0,pcs,,,,,
685,Firewall Fortinet 60E,KN01,24/12/2024,in,1.0,pcs,,,,,
686,Laptop HP ProBook 440 14 inch G9,VA10,2025-01-02 00:00:00,in,1.0,pcs,,,,5CD250F9QZ,
687,Bill Printer Epson TM-T82III,VA11,2025-01-02 00:00:00,in,1.0,pcs,,,,X7B9022786,
688,Scanner Datalogic QW2100,VA12,2025-01-02 00:00:00,in,1.0,pcs,,,,G22F27244,
689,Canon LBP 2900,VA13,2025-01-02 00:00:00,in,1.0,pcs,,,,NMYA782038,
690,USB Kingston ,VA14,2025-01-02 00:00:00,in,1.0,pcs,,,,,
691,Desktop HP PRO MINI 400 G9,VA09,2025-01-02 00:00:00,in,1.0,pcs,,,,8CC3213L46,
692,Laptop Dell Latitude 3520 ,Zv18-ZV20,2025-01-02 00:00:00,in,1.0,pcs,,,,1P8VKG3 ,
693,Laptop Dell Inspiron 3505 ,ZV21,2025-01-02 00:00:00,in,1.0,pcs,,,,GNWPK73 ,
694,Thinkpad X280 ,ZV17-19,2025-01-02 00:00:00,in,1.0,pcs,,,,PC133K78 ,
695,Laptop HP PROBOOK 440 G9 ,ZV10,2025-01-02 00:00:00,in,1.0,pcs,,,,5CD236BCT6 ,
696,Laptop Dell Latitude 3520 ,give for SN to repair,2025-01-02 00:00:00,out,1.0,pcs,,,,99C2LG3,
697,Laptop Dell Latitude 3520 ,give for SN to repair,2025-01-02 00:00:00,out,1.0,pcs,,,,8P9VKG3,
